Date;Open;High;Low;Close
19.09.2018;111640;111710;111640;111710
19.09.2018;111710;111720;111690;111700
19.09.2018;111700;111730;111680;111710
19.09.2018;111700;111720;111690;111700
19.09.2018;111700;111740;111680;111690
19.09.2018;111680;111750;111680;111730
19.09.2018;111730;111760;111700;111700
19.09.2018;111690;111730;111660;111690
19.09.2018;111670;111740;111670;111720
19.09.2018;111700;111760;111690;111760
19.09.2018;111750;111830;111700;111810
19.09.2018;111820;111820;111790;111800
19.09.2018;111800;111810;111720;111750
19.09.2018;111760;111770;111710;111710
19.09.2018;111720;111780;111700;111710
19.09.2018;111720;111750;111710;111720
19.09.2018;111730;111750;111690;111720
19.09.2018;111720;111730;111670;111710
19.09.2018;111720;111720;111600;111640
19.09.2018;111650;111670;111580;111620
19.09.2018;111620;111630;111510;111530
19.09.2018;111550;111560;111390;111500
19.09.2018;111500;111540;111480;111500
19.09.2018;111520;111540;111480;111520
19.09.2018;111510;111520;111480;111480
19.09.2018;111480;111520;111470;111490
19.09.2018;111490;111510;111480;111490
19.09.2018;111490;111530;111470;111480
19.09.2018;111500;111570;111500;111550
19.09.2018;111540;111580;111540;111570
19.09.2018;111570;111610;111570;111580
19.09.2018;111580;111590;111570;111570
19.09.2018;111580;111580;111550;111550
19.09.2018;111540;111540;111510;111510
19.09.2018;111510;111540;111510;111530
19.09.2018;111530;111570;111520;111550
19.09.2018;111560;111590;111550;111570
19.09.2018;111580;111630;111550;111600
19.09.2018;111610;111680;111600;111650
19.09.2018;111650;111690;111650;111680
19.09.2018;111690;111690;111650;111650
19.09.2018;111640;111710;111640;111700
19.09.2018;111710;111720;111660;111680
19.09.2018;111680;111680;111640;111640
19.09.2018;111660;111700;111630;111680
19.09.2018;111690;111690;111650;111650
19.09.2018;111650;111680;111650;111670
19.09.2018;111680;111690;111670;111690
19.09.2018;111680;111690;111630;111640
19.09.2018;111630;111640;111600;111610
19.09.2018;111610;111750;111600;111740
19.09.2018;111760;111760;111690;111690
19.09.2018;111680;111700;111670;111680
19.09.2018;111680;111690;111630;111630
19.09.2018;111630;111720;111630;111690
19.09.2018;111690;111720;111620;111640
